"ticket_number";"issue_date";"issue_time";"rp_state_plate";"plate_expiry";"make";"body_style";"color";"location";"latitude";"longitude";"violation_code";"fine_amount"
1103341116;"2015-12-21";1251;"";"";"";"";"";"13147 WELBY WAY";34.1931656;-118.4198593;"";50.0
1103700150;"2015-12-21";1435;"";"";"";"";"";"525 S MAIN ST";34.046197;-118.2492927;"";50.0
1104803000;"2015-12-21";2055;"";"";"";"";"";"200 WORLD WAY";33.9461547;-118.4039532;"";58.0
1105461453;"2015-09-15";115;"";"";"";"";"";"GEORGIA ST/OLYMPIC";34.0458823;-118.2668775;"";93.0
1106226590;"2015-09-15";19;"";"";"";"";"";"SAN PEDRO S/O BOYD";33.7360696;-118.2923791;"";50.0
1106500452;"2015-12-17";1710;"";"";"";"";"";"SUNSET/ALVARADO";34.077623;-118.263458;"";163.0
1106500463;"2015-12-17";1710;"";"";"";"";"";"SUNSET/ALVARADO";34.077623;-118.263458;"";163.0
1106506402;"2015-12-22";945;"";"";"";"";"";"721 S WESTLAKE";34.0554475;-118.2763928;"";93.0
1106506413;"2015-12-22";1100;"";"";"";"";"";"1159 HUNTLEY DR";34.05819;-118.25674;"";93.0
1106506424;"2015-12-22";1100;"";"";"";"";"";"1159 HUNTLEY DR";34.05819;-118.25674;"";93.0
1106506435;"2015-12-22";1105;"";"";"";"";"";"1159 HUNTLEY DR";34.05819;-118.25674;"";93.0
1106506446;"2015-12-22";1110;"";"";"";"";"";"1200 W MIRAMAR";34.0571676;-118.2575768;"";50.0
1106549754;"2015-12-15";825;"";"";"";"";"";"4TH/STATE";34.0671502;-118.3117471;"";93.0
1107179581;"2015-12-27";1055;"";"";"";"";"";"3100 N HOLLYRIDGE DR";34.1125496;-118.3196835;"";68.0
1107179592;"2015-12-27";1200;"";"";"";"";"";"3115 N BERENDO DR";34.1123215;-118.2946701;"";68.0
1107179603;"2015-12-27";1400;"";"";"";"";"";"3100 N BEACHWOOD DR";34.1262023;-118.3176476;"";68.0
